Water_Name,Water_Body,County,Countycode,ST_Provinc,Location,ID,lat,lon,CRB,Lat_ra,Long_ra,mean_ca_mg_2009,mean_pH_2009,roe_2009,roe_f_2009,ramcharan09,state_ass09,roi_1_2009,roi_2_2009,Roe_rank_2009,roi_3_2009,Roi_rank_2009,Rank_sumAll_2009,Rank_sum_2009,Trips2008,Trips2010,Mn_trips_08_10,DayUsedays08,DayUsedays10,Mn_dayuse_08_10,Size_Acres,No_boats_2012,No_Tourns_2012,No_Tourns_2006_08,No_boats_2006_08,Dayuse_100thm,No_ramps,CaMax_ISDA2011,ISDA2011_Rank,Elevation_ft,Motors,Fishing,Marinas,Cold,Warm,Reports,USERS,MT_Stream_Name,Length_Miles,Drainage,Region,Boat,Total_Pressure,TotPressure_Error,Total_Trips,Resident_Pressure,Res_Pressure_error,Res_Trips,Nonresident_Pressure,Nonres_Presssure_Error,NonRes_Trips,State_Rank,Regional_Rank
AMC Wildlife Ponds,AMC Wildlife Ponds,Deer Lodge,Deer,MT,.,AMC Wildlife Ponds_Deer_MT,46.167367,-112.762465,1,46.157718,-112.775002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1474.3,.,.,.,.,.,.,.,.,4839,.,.,.,.,.,.,.,AMC Wildlife Ponds,.,Upper Clark Fork,2,.,71,71,2,71,71,2,0,0,0,1076,181
Aeneas Lake,Aeneas Lake,Okanogan,Okan,WA,Aeneas Lake,Aeneas Lake_Okan_WA,48.677731,-119.504872,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alkali Lake,Alkali Lake,Grant,Gran,WA,Alkali Lake,Alkali Lake_Gran_WA,47.522378,-119.495494,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alta Lake,Alta Lake,Okanogan,Okan,WA,Alta Lake State Park,Alta Lake_Okan_WA,48.025697,-119.93425,1,48.027385,-119.935472,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,220,.,.,.,.,.,2,.,.,1170,1,1,0,1,0,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alta Lake,Alta Lake,Okanogan,Okan,WA,Alta Lake State Park,Alta Lake_Okan_WA,48.027642,-119.936472,1,48.027385,-119.935472,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,220,.,.,.,.,.,2,.,.,1170,1,1,0,1,0,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alta Lake,Alta Lake,Okanogan,Okan,WA,Whistlin Pine Ranch,Alta Lake_Okan_WA,48.015142,-119.942583,1,48.027385,-119.935472,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,220,.,.,.,.,.,2,.,.,1170,1,1,0,1,0,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alturas Lake,Alturas Lake,Blaine,Blai,ID,Smokey Bear,Alturas Lake_Blai_ID,43.920468,-114.860279,1,43.90559,-114.87605,7.4,7.22,Very Low,flag,Absence,.,.,.,1,.,0,1,.,.,.,.,.,.,.,826,.,.,.,.,.,1,8,High,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alvord Lake,Alvord Lake,Lincoln,Linc,MT,.,Alvord Lake_Linc_MT,48.499985,-115.885997,1,48.4937725,-115.883328,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53.1,.,.,.,.,.,.,.,.,2582,.,.,.,.,.,.,.,Alvord Lake,.,Upper Kootenai,1,1,696,290,14,696,290,14,0,0,0,354,86
Amber Lake,Amber Lake,Spokane,Spok,WA,Amber Lake,Amber Lake_Spok_WA,47.348122,-117.714628,1,47.34812116,-117.714629,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,91,.,.,.,.,.,1,.,.,2168,.,1,0,1,0,16,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Snake River,American Falls Reservoir,"Power, Bingham, Bannock",Powe,ID,Seagull Bay,American Falls Reservoir,42.825502,-112.808356,1,42.781389,-112.875,47.5,8.19,High,.,Presence,High3,High,High,10,High,10,20,20,.,.,.,.,.,.,55501,77,7,19,462,12,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
